,nombre,precio,tipo,enlace,modelo,an,brand,prices.amountMax,prices.amountMin,prices.isSale
52,Nike Free Metcon 4,120,Calzado de entrenamiento para mujer,https://www.nike.com/us/es/t/calzado-de-entrenamiento-free-metcon-4-pxHVt9/CZ0596-669,others,2021,nike,120.0,120.0,False
53,Nike React Escape Run,100,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-en-carretera-react-escape-run-LP3Msz/CV3817-603,others,2021,nike,100.0,100.0,False
54,Nike Air Zoom Terra Kiger 7,150,Calzado de trail running para mujer,https://www.nike.com/us/es/t/calzado-de-carreras-en-sendero-air-zoom-terra-kiger-7-STCHXJ/DM9469-800,others,2021,nike,150.0,150.0,False
55,Nike Court Legacy Serena Design Crew,80,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-legacy-serena-design-crew-8vF9T8/DJ1454-001,court tennis,2021,nike,80.0,80.0,False
56,Nike RYZ 365 2 Serena Design Crew,85,Calzado para mujer,https://www.nike.com/us/es/t/calzado-ryz-365-2-serena-design-crew-fGRZVt/DJ1518-001,others,2021,nike,85.0,85.0,False
57,Nike Retro GTS,65,Calzado para mujer,https://www.nike.com/us/es/t/calzado-retro-gts-QS7Nfz/DB2880-001,others,2021,nike,65.0,65.0,False
58,Nike Pegasus Trail 3,130,Calzado de trail running para mujer,https://www.nike.com/us/es/t/calzado-de-carreras-de-sendero-pegasus-trail-3-gcsb5k/DA8698-600,others,2021,nike,130.0,130.0,False
59,Nike Renew In-Season TR 11,75,Calzado de entrenamiento para mujer,https://www.nike.com/us/es/t/calzado-de-entrenamiento-renew-in-season-tr-11-N29Xjq/DA1349-001,in-season,2021,nike,75.0,75.0,False
60,Nike Air Force 1 Pixel,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-pixel-3qrstC/CK6649-100,others,2021,nike,100.0,100.0,False
61,Nike Court Legacy,60,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-legacy-b1VJNg/CU4149-102,court tennis,2021,nike,60.0,60.0,False
62,Nike Zoom Alphafly Next Nature,300,Calzado de carrera en carretera,https://www.nike.com/us/es/t/calzado-de-carrera-en-carretera-zoom-alphafly-next-nature-WnMHmS/DB0129-001,others,2021,nike,300.0,300.0,False
63,Nike Court Vision Alta,80,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-vision-alta-XgCbFW/DO2791-100,court tennis,2021,nike,80.0,80.0,False
64,Nike Air Force 1 Pixel SE,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-pixel-se-fzWw2r/DH9632-100,others,2021,nike,110.0,110.0,False
65,Nike Offcourt Duo,40,Chancla para mujer,https://www.nike.com/us/es/t/chancla-offcourt-duo-X0HQzh/DC0496-700,court tennis,2021,nike,40.0,40.0,False
66,Nike Revolution 6 Next Nature,65,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-en-carretera-revolution-6-next-nature-M27lQV/DC3729-003,others,2021,nike,65.0,65.0,False
67,Nike Fontanka Waffle,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-fontanka-waffle-cmqd5T/DC3579-001,others,2021,nike,100.0,100.0,False
68,Nike Air Force 1 GTX,150,Calzado para hombre,https://www.nike.com/us/es/t/calzado-air-force-1-gtx-MXf3Lm/CT2858-001,others,2021,nike,150.0,150.0,False
69,Nike SB Zoom Verona Slip,75,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-zoom-verona-slip-dpj8Z9/CZ2373-301,sb skate,2021,nike,75.0,75.0,False
70,Nike Dunk High,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-dunk-high-g9q8nb/DD1869-109,others,2021,nike,110.0,110.0,False
71,Nike Air Zoom SuperRep 2,78.97$120,Calzado de entrenamiento de intervalos de alta densidad para mujer,https://www.nike.com/us/es/t/calzado-para-clases-hiit-air-zoom-superrep-2-1tmtbv/DJ3072-064,others,2021,nike,120.0,78.97,False
72,Nike Mercurial Vapor 14 Club TF,55,Calzado de fútbol para pasto sintético (turf),https://www.nike.com/us/es/t/calzado-de-fútbol-para-pasto-sintético-turf-mercurial-vapor-14-club-tf-g6DWLb/CV0985-004,others,2021,nike,55.0,55.0,False
73,KD Trey 5 IX,90,Calzado de básquetbol,https://www.nike.com/us/es/t/calzado-de-básquetbol-kd-trey-5-9-1HJf9Q/CW3400-001,others,2021,nike,90.0,90.0,False
74,Nike Air Force 1 Sage Low,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-sage-low-CprflJ/AR5339-100,others,2021,nike,100.0,100.0,False
75,Nike SB Force 58 Premium,75,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-force-58-premium-n61J3f/DH7505-100,sb skate,2021,nike,75.0,75.0,False
