,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
8230,2018,nike,racing,80.0,64.99,False
8231,2018,nike,racing,80.0,64.99,False
8232,2018,nike,racing,80.0,64.99,False
8401,2018,nike,az winflo,90.0,67.5,False
8402,2018,nike,az winflo,90.0,90.0,False
8403,2018,nike,az winflo,90.0,90.0,False
8404,2018,nike,az winflo,90.0,90.0,False
8405,2018,nike,az winflo,90.0,67.5,False
8406,2018,nike,az winflo,90.0,84.99,False
8407,2018,nike,az winflo,90.0,79.99,False
8408,2018,nike,az winflo,90.0,67.5,False
8409,2018,nike,az winflo,90.0,90.0,False
8410,2018,nike,az winflo,90.0,79.99,False
8411,2018,nike,az winflo,90.0,90.0,False
8412,2018,nike,az winflo,90.0,67.5,False
8413,2018,nike,az winflo,90.0,90.0,False
8414,2018,nike,az winflo,90.0,90.0,False
8415,2018,nike,az winflo,90.0,90.0,False
8416,2018,nike,az winflo,90.0,67.5,False
8417,2018,nike,az winflo,90.0,67.5,False
8418,2018,nike,az winflo,90.0,90.0,False
8419,2018,nike,az winflo,90.0,69.99,False
8420,2018,nike,az winflo,90.0,84.99,False
8421,2018,nike,az winflo,90.0,84.99,False
8422,2018,nike,az winflo,90.0,90.0,False
8423,2018,nike,az winflo,90.0,90.0,False
8424,2018,nike,az winflo,90.0,79.99,False
8425,2018,nike,az winflo,90.0,84.99,False
8426,2018,nike,az winflo,90.0,90.0,False
8427,2018,nike,az winflo,90.0,67.5,False
8428,2018,nike,az winflo,90.0,84.99,False
8429,2018,nike,az winflo,90.0,79.99,False
8430,2018,nike,az winflo,90.0,90.0,False
8431,2018,nike,az winflo,90.0,67.5,False
8432,2018,nike,az winflo,90.0,90.0,False
8433,2018,nike,az winflo,90.0,90.0,False
8434,2018,nike,az winflo,90.0,90.0,False
8435,2018,nike,az winflo,90.0,90.0,False
8436,2018,nike,az winflo,90.0,69.99,False
8437,2018,nike,az winflo,90.0,79.99,False
8438,2018,nike,az winflo,90.0,90.0,False
8439,2018,nike,az winflo,90.0,67.5,False
8440,2018,nike,az winflo,90.0,67.5,False
8441,2018,nike,az winflo,90.0,90.0,False
8442,2018,nike,az winflo,90.0,90.0,False
8443,2018,nike,az winflo,90.0,79.99,False
8444,2018,nike,az winflo,90.0,63.0,False
8445,2018,nike,az winflo,90.0,90.0,False
8446,2018,nike,az winflo,90.0,67.5,False
8447,2018,nike,az winflo,90.0,67.5,False
8448,2018,nike,az winflo,90.0,90.0,False
8449,2018,nike,az winflo,90.0,90.0,False
8450,2018,nike,az winflo,90.0,63.0,False
8451,2018,nike,az winflo,90.0,90.0,False
8452,2018,nike,az winflo,90.0,84.99,False
8453,2018,nike,az winflo,90.0,79.99,False
8454,2018,nike,az winflo,90.0,90.0,False
8455,2018,nike,az winflo,90.0,90.0,False
8456,2018,nike,az winflo,90.0,69.99,False
8457,2018,nike,az winflo,90.0,79.99,False
8458,2018,nike,az winflo,90.0,90.0,False
8459,2018,nike,az winflo,90.0,67.5,False
8460,2018,nike,az winflo,90.0,84.99,False
8461,2018,nike,az winflo,90.0,67.5,False
8462,2018,nike,az winflo,90.0,67.5,False
8463,2018,nike,az winflo,90.0,69.99,False
8464,2018,nike,az winflo,90.0,67.5,False
8465,2018,nike,az winflo,90.0,67.5,False
8466,2018,nike,az winflo,90.0,84.99,False
8467,2018,nike,az winflo,90.0,84.99,False
8468,2018,nike,az winflo,90.0,90.0,False
8469,2018,nike,az winflo,90.0,67.5,False
8470,2018,nike,az winflo,90.0,84.99,False
8471,2018,nike,az winflo,90.0,90.0,False
8472,2018,nike,az winflo,90.0,79.99,False
8473,2018,nike,lunar running,85.0,69.99,False
8474,2018,nike,lunar running,85.0,69.99,False
8475,2018,nike,lunar running,85.0,69.99,False
8476,2018,nike,lunar running,85.0,69.99,False
8477,2018,nike,lunar running,85.0,69.99,False
8478,2018,nike,lunar running,85.0,69.99,False
8479,2018,nike,lunar running,85.0,69.99,False
8480,2018,nike,lunar running,85.0,69.99,False
8481,2018,nike,lunar running,85.0,69.99,False
8482,2018,nike,lunar running,85.0,69.99,False
8483,2018,nike,in-season,75.0,56.25,False
8484,2018,nike,in-season,75.0,56.25,False
8485,2018,nike,in-season,75.0,69.99,False
8486,2018,nike,in-season,75.0,69.99,False
8487,2018,nike,in-season,75.0,56.25,False
8488,2018,nike,in-season,75.0,69.99,False
8489,2018,nike,in-season,75.0,56.25,False
8490,2018,nike,in-season,75.0,56.25,False
8491,2018,nike,in-season,75.0,75.0,False
8492,2018,nike,in-season,75.0,75.0,False
8493,2018,nike,in-season,75.0,69.99,False
8494,2018,nike,in-season,75.0,56.25,False
8495,2018,nike,in-season,75.0,75.0,False
8496,2018,nike,in-season,75.0,64.99,False
8497,2018,nike,in-season,75.0,56.25,False
8498,2018,nike,in-season,75.0,56.25,False
8499,2018,nike,in-season,75.0,56.25,False
8500,2018,nike,in-season,75.0,75.0,False
8501,2018,nike,in-season,75.0,69.99,False
8502,2018,nike,in-season,75.0,64.99,False
8503,2018,nike,in-season,75.0,69.99,False
8504,2018,nike,in-season,75.0,69.99,False
8505,2018,nike,in-season,75.0,75.0,False
8506,2018,nike,in-season,75.0,56.25,False
8507,2018,nike,in-season,75.0,56.25,False
8508,2018,nike,in-season,75.0,75.0,False
